2026-05-02 00:06:05.174 | INFO     | DuckDB     | DuckDB | 所有核心表结构初始化完成 (含热点板块)
2026-05-02 00:06:05.174 | INFO     | DuckDB     | DuckDB 核心就绪: E:\1target\p9_project\quant-platform\data\meta\meta.db
2026-05-02 00:06:05.180 | INFO     | Backtest   | [回测 1/5] 筛选回测目标股票...
2026-05-02 00:06:05.190 | INFO     | Backtest   | [回测 2/5] 加载 5010 只股票的历史数据进行快速扫描...
2026-05-02 00:06:18.960 | INFO     | Backtest   | [回测 3/5] 计算策略信号 (基于日线信号库)...
2026-05-02 00:06:18.968 | INFO     | Screener   | 🧬 [Loader] 识别到类继承策略: MA5AngleOriginalStrategy
2026-05-02 00:06:30.070 | INFO     | Backtest   | [回测 4/5] 处理 658 条信号，执行精细分钟线仿真...
2026-05-02 00:06:30.072 | INFO     | Backtest   | [回测 4/5] 模拟第 1/658 笔交易: 全新好...
2026-05-02 00:06:30.443 | INFO     | Backtest   | [回测 4/5] 模拟第 11/658 笔交易: 新金路...
2026-05-02 00:06:30.753 | INFO     | Backtest   | [回测 4/5] 模拟第 21/658 笔交易: 金岭矿业...
2026-05-02 00:06:31.139 | INFO     | Backtest   | [回测 4/5] 模拟第 31/658 笔交易: 山高环能...
2026-05-02 00:06:31.453 | INFO     | Backtest   | [回测 4/5] 模拟第 41/658 笔交易: 神火股份...
2026-05-02 00:06:31.780 | INFO     | Backtest   | [回测 4/5] 模拟第 51/658 笔交易: 华瓷股份...
2026-05-02 00:06:32.178 | INFO     | Backtest   | [回测 4/5] 模拟第 61/658 笔交易: 山东威达...
2026-05-02 00:06:32.594 | INFO     | Backtest   | [回测 4/5] 模拟第 71/658 笔交易: 沧州明珠...
2026-05-02 00:06:32.909 | INFO     | Backtest   | [回测 4/5] 模拟第 81/658 笔交易: 游族网络...
2026-05-02 00:06:33.212 | INFO     | Backtest   | [回测 4/5] 模拟第 91/658 笔交易: 北化股份...
2026-05-02 00:06:33.573 | INFO     | Backtest   | [回测 4/5] 模拟第 101/658 笔交易: 亚太股份...
2026-05-02 00:06:33.919 | INFO     | Backtest   | [回测 4/5] 模拟第 111/658 笔交易: 慈文传媒...
2026-05-02 00:06:34.271 | INFO     | Backtest   | [回测 4/5] 模拟第 121/658 笔交易: 梦洁股份...
2026-05-02 00:06:34.530 | INFO     | Backtest   | [回测 4/5] 模拟第 131/658 笔交易: 江苏神通...
2026-05-02 00:06:34.863 | INFO     | Backtest   | [回测 4/5] 模拟第 141/658 笔交易: 蓝丰生化...
2026-05-02 00:06:35.249 | INFO     | Backtest   | [回测 4/5] 模拟第 151/658 笔交易: 东方铁塔...
2026-05-02 00:06:35.551 | INFO     | Backtest   | [回测 4/5] 模拟第 161/658 笔交易: 日上集团...
2026-05-02 00:06:35.770 | INFO     | Backtest   | [回测 4/5] 模拟第 171/658 笔交易: 利君股份...
2026-05-02 00:06:36.087 | INFO     | Backtest   | [回测 4/5] 模拟第 181/658 笔交易: 海洋王...
2026-05-02 00:06:36.382 | INFO     | Backtest   | [回测 4/5] 模拟第 191/658 笔交易: 易明医药...
2026-05-02 00:06:36.704 | INFO     | Backtest   | [回测 4/5] 模拟第 201/658 笔交易: 天奥电子...
2026-05-02 00:06:37.065 | INFO     | Backtest   | [回测 4/5] 模拟第 211/658 笔交易: 海象新材...
2026-05-02 00:06:37.437 | INFO     | Backtest   | [回测 4/5] 模拟第 221/658 笔交易: 九洲集团...
2026-05-02 00:06:37.737 | INFO     | Backtest   | [回测 4/5] 模拟第 231/658 笔交易: 世纪瑞尔...
2026-05-02 00:06:38.074 | INFO     | Backtest   | [回测 4/5] 模拟第 241/658 笔交易: 方直科技...
2026-05-02 00:06:38.308 | INFO     | Backtest   | [回测 4/5] 模拟第 251/658 笔交易: 国瓷材料...
2026-05-02 00:06:38.578 | INFO     | Backtest   | [回测 4/5] 模拟第 261/658 笔交易: 易事特...
2026-05-02 00:06:38.840 | INFO     | Backtest   | [回测 4/5] 模拟第 271/658 笔交易: 航天智装...
2026-05-02 00:06:39.077 | INFO     | Backtest   | [回测 4/5] 模拟第 281/658 笔交易: 海顺新材...
2026-05-02 00:06:39.434 | INFO     | Backtest   | [回测 4/5] 模拟第 291/658 笔交易: 筑博设计...
2026-05-02 00:06:39.712 | INFO     | Backtest   | [回测 4/5] 模拟第 301/658 笔交易: 晨化股份...
2026-05-02 00:06:40.026 | INFO     | Backtest   | [回测 4/5] 模拟第 311/658 笔交易: 延江股份...
2026-05-02 00:06:40.310 | INFO     | Backtest   | [回测 4/5] 模拟第 321/658 笔交易: 万隆光电...
2026-05-02 00:06:40.626 | INFO     | Backtest   | [回测 4/5] 模拟第 331/658 笔交易: 震安科技...
2026-05-02 00:06:40.948 | INFO     | Backtest   | [回测 4/5] 模拟第 341/658 笔交易: 美畅股份...
2026-05-02 00:06:41.376 | INFO     | Backtest   | [回测 4/5] 模拟第 351/658 笔交易: 华绿生物...
2026-05-02 00:06:41.786 | INFO     | Backtest   | [回测 4/5] 模拟第 361/658 笔交易: 严牌股份...
2026-05-02 00:06:42.084 | INFO     | Backtest   | [回测 4/5] 模拟第 371/658 笔交易: 中远通...
2026-05-02 00:06:42.473 | INFO     | Backtest   | [回测 4/5] 模拟第 381/658 笔交易: 特变电工...
2026-05-02 00:06:42.817 | INFO     | Backtest   | [回测 4/5] 模拟第 391/658 笔交易: 莲花控股...
2026-05-02 00:06:43.080 | INFO     | Backtest   | [回测 4/5] 模拟第 401/658 笔交易: 国电南自...
2026-05-02 00:06:43.380 | INFO     | Backtest   | [回测 4/5] 模拟第 411/658 笔交易: 西藏天路...
2026-05-02 00:06:43.706 | INFO     | Backtest   | [回测 4/5] 模拟第 421/658 笔交易: 华胜天成...
2026-05-02 00:06:44.008 | INFO     | Backtest   | [回测 4/5] 模拟第 431/658 笔交易: 贵航股份...
2026-05-02 00:06:44.270 | INFO     | Backtest   | [回测 4/5] 模拟第 441/658 笔交易: 氯碱化工...
2026-05-02 00:06:44.643 | INFO     | Backtest   | [回测 4/5] 模拟第 451/658 笔交易: 金牛化工...
2026-05-02 00:06:44.921 | INFO     | Backtest   | [回测 4/5] 模拟第 461/658 笔交易: 厦工股份...
2026-05-02 00:06:45.396 | INFO     | Backtest   | [回测 4/5] 模拟第 471/658 笔交易: 渤海汽车...
2026-05-02 00:06:45.707 | INFO     | Backtest   | [回测 4/5] 模拟第 481/658 笔交易: 中信金属...
2026-05-02 00:06:46.135 | INFO     | Backtest   | [回测 4/5] 模拟第 491/658 笔交易: 百隆东方...
2026-05-02 00:06:46.452 | INFO     | Backtest   | [回测 4/5] 模拟第 501/658 笔交易: 明阳智能...
2026-05-02 00:06:46.768 | INFO     | Backtest   | [回测 4/5] 模拟第 511/658 笔交易: 亚普股份...
2026-05-02 00:06:47.161 | INFO     | Backtest   | [回测 4/5] 模拟第 521/658 笔交易: 共进股份...
2026-05-02 00:06:47.428 | INFO     | Backtest   | [回测 4/5] 模拟第 531/658 笔交易: 望变电气...
2026-05-02 00:06:47.717 | INFO     | Backtest   | [回测 4/5] 模拟第 541/658 笔交易: 上海雅仕...
2026-05-02 00:06:47.975 | INFO     | Backtest   | [回测 4/5] 模拟第 551/658 笔交易: 勘设股份...
2026-05-02 00:06:48.416 | INFO     | Backtest   | [回测 4/5] 模拟第 561/658 笔交易: 中曼石油...
2026-05-02 00:06:48.680 | INFO     | Backtest   | [回测 4/5] 模拟第 571/658 笔交易: 宁波高发...
2026-05-02 00:06:49.025 | INFO     | Backtest   | [回测 4/5] 模拟第 581/658 笔交易: 嘉友国际...
2026-05-02 00:06:49.288 | INFO     | Backtest   | [回测 4/5] 模拟第 591/658 笔交易: 三孚股份...
2026-05-02 00:06:49.598 | INFO     | Backtest   | [回测 4/5] 模拟第 601/658 笔交易: 咸亨国际...
2026-05-02 00:06:49.910 | INFO     | Backtest   | [回测 4/5] 模拟第 611/658 笔交易: 园林股份...
2026-05-02 00:06:50.154 | INFO     | Backtest   | [回测 4/5] 模拟第 621/658 笔交易: 德林海...
2026-05-02 00:06:50.370 | INFO     | Backtest   | [回测 4/5] 模拟第 631/658 笔交易: 统联精密...
2026-05-02 00:06:50.690 | INFO     | Backtest   | [回测 4/5] 模拟第 641/658 笔交易: 信科移动-U...
2026-05-02 00:06:50.946 | INFO     | Backtest   | [回测 4/5] 模拟第 651/658 笔交易: 上纬新材...
2026-05-02 00:06:51.236 | INFO     | Backtest   | [回测 5/5] 回测任务完成: 437笔(含0笔平手离场)
2026-05-02 00:06:51.465 | INFO     | Backtest   | [回测 1/5] 筛选回测目标股票...
2026-05-02 00:06:51.482 | INFO     | Backtest   | [回测 2/5] 加载 5010 只股票的历史数据进行快速扫描...
2026-05-02 00:07:04.686 | INFO     | Backtest   | [回测 3/5] 计算策略信号 (基于日线信号库)...
2026-05-02 00:07:04.693 | INFO     | Screener   | 🧬 [Loader] 识别到类继承策略: MA5AngleOriginalStrategy
2026-05-02 00:07:15.769 | INFO     | Backtest   | [回测 3/5] 上证红盘过滤: 658 → 491 条信号
2026-05-02 00:07:15.769 | INFO     | Backtest   | [回测 4/5] 处理 491 条信号，执行精细分钟线仿真...
2026-05-02 00:07:15.770 | INFO     | Backtest   | [回测 4/5] 模拟第 1/491 笔交易: 全新好...
2026-05-02 00:07:16.161 | INFO     | Backtest   | [回测 4/5] 模拟第 11/491 笔交易: 青岛双星...
2026-05-02 00:07:16.562 | INFO     | Backtest   | [回测 4/5] 模拟第 21/491 笔交易: 山高环能...
2026-05-02 00:07:16.873 | INFO     | Backtest   | [回测 4/5] 模拟第 31/491 笔交易: 广济药业...
2026-05-02 00:07:17.280 | INFO     | Backtest   | [回测 4/5] 模拟第 41/491 笔交易: 百通能源...
2026-05-02 00:07:17.721 | INFO     | Backtest   | [回测 4/5] 模拟第 51/491 笔交易: 沧州明珠...
2026-05-02 00:07:18.063 | INFO     | Backtest   | [回测 4/5] 模拟第 61/491 笔交易: 九鼎新材...
