2026-05-06 00:00:00.206 | INFO     | Backtest   | [回测 4/5] 模拟第 1741/4821 笔交易: 爱柯迪...
2026-05-06 00:00:00.459 | INFO     | Backtest   | [回测 4/5] 模拟第 1751/4821 笔交易: 沃华医药...
2026-05-06 00:00:00.717 | INFO     | Backtest   | [回测 4/5] 模拟第 1761/4821 笔交易: 真兰仪表...
2026-05-06 00:00:00.991 | INFO     | Backtest   | [回测 4/5] 模拟第 1771/4821 笔交易: 巨力索具...
2026-05-06 00:00:01.285 | INFO     | Backtest   | [回测 4/5] 模拟第 1781/4821 笔交易: 国安达...
2026-05-06 00:00:01.551 | INFO     | Backtest   | [回测 4/5] 模拟第 1791/4821 笔交易: 华映科技...
2026-05-06 00:00:01.859 | INFO     | Backtest   | [回测 4/5] 模拟第 1801/4821 笔交易: 星帅尔...
2026-05-06 00:00:02.130 | INFO     | Backtest   | [回测 4/5] 模拟第 1811/4821 笔交易: 仙乐健康...
2026-05-06 00:00:02.420 | INFO     | Backtest   | [回测 4/5] 模拟第 1821/4821 笔交易: 长城科技...
2026-05-06 00:00:02.728 | INFO     | Backtest   | [回测 4/5] 模拟第 1831/4821 笔交易: 泰瑞机器...
2026-05-06 00:00:03.010 | INFO     | Backtest   | [回测 4/5] 模拟第 1841/4821 笔交易: 精锻科技...
2026-05-06 00:00:03.321 | INFO     | Backtest   | [回测 4/5] 模拟第 1851/4821 笔交易: 宗申动力...
2026-05-06 00:00:03.591 | INFO     | Backtest   | [回测 4/5] 模拟第 1861/4821 笔交易: 元琛科技...
2026-05-06 00:00:03.818 | INFO     | Backtest   | [回测 4/5] 模拟第 1871/4821 笔交易: 国林科技...
2026-05-06 00:00:04.096 | INFO     | Backtest   | [回测 4/5] 模拟第 1881/4821 笔交易: 珠海冠宇...
2026-05-06 00:00:04.389 | INFO     | Backtest   | [回测 4/5] 模拟第 1891/4821 笔交易: 山东赫达...
2026-05-06 00:00:04.693 | INFO     | Backtest   | [回测 4/5] 模拟第 1901/4821 笔交易: 亚太股份...
2026-05-06 00:00:04.973 | INFO     | Backtest   | [回测 4/5] 模拟第 1911/4821 笔交易: 通程控股...
2026-05-06 00:00:05.261 | INFO     | Backtest   | [回测 4/5] 模拟第 1921/4821 笔交易: 皖通科技...
2026-05-06 00:00:05.501 | INFO     | Backtest   | [回测 4/5] 模拟第 1931/4821 笔交易: 嘉环科技...
2026-05-06 00:00:05.792 | INFO     | Backtest   | [回测 4/5] 模拟第 1941/4821 笔交易: 钢研高纳...
2026-05-06 00:00:06.034 | INFO     | Backtest   | [回测 4/5] 模拟第 1951/4821 笔交易: 世茂能源...
2026-05-06 00:00:06.286 | INFO     | Backtest   | [回测 4/5] 模拟第 1961/4821 笔交易: 岭南控股...
2026-05-06 00:00:06.583 | INFO     | Backtest   | [回测 4/5] 模拟第 1971/4821 笔交易: 佐力药业...
2026-05-06 00:00:06.868 | INFO     | Backtest   | [回测 4/5] 模拟第 1981/4821 笔交易: 电科网安...
2026-05-06 00:00:07.190 | INFO     | Backtest   | [回测 4/5] 模拟第 1991/4821 笔交易: 紫光股份...
2026-05-06 00:00:07.465 | INFO     | Backtest   | [回测 4/5] 模拟第 2001/4821 笔交易: 正海生物...
2026-05-06 00:00:07.743 | INFO     | Backtest   | [回测 4/5] 模拟第 2011/4821 笔交易: 亚虹医药-U...
2026-05-06 00:00:07.954 | INFO     | Backtest   | [回测 4/5] 模拟第 2021/4821 笔交易: 赛微电子...
2026-05-06 00:00:08.242 | INFO     | Backtest   | [回测 4/5] 模拟第 2031/4821 笔交易: 生物股份...
2026-05-06 00:00:08.511 | INFO     | Backtest   | [回测 4/5] 模拟第 2041/4821 笔交易: 国新健康...
2026-05-06 00:00:08.760 | INFO     | Backtest   | [回测 4/5] 模拟第 2051/4821 笔交易: 亨通股份...
2026-05-06 00:00:09.045 | INFO     | Backtest   | [回测 4/5] 模拟第 2061/4821 笔交易: 绿盟科技...
2026-05-06 00:00:09.304 | INFO     | Backtest   | [回测 4/5] 模拟第 2071/4821 笔交易: 统一股份...
2026-05-06 00:00:09.574 | INFO     | Backtest   | [回测 4/5] 模拟第 2081/4821 笔交易: 慈文传媒...
2026-05-06 00:00:09.825 | INFO     | Backtest   | [回测 4/5] 模拟第 2091/4821 笔交易: 城市传媒...
2026-05-06 00:00:10.181 | INFO     | Backtest   | [回测 4/5] 模拟第 2101/4821 笔交易: 美利信...
2026-05-06 00:00:10.454 | INFO     | Backtest   | [回测 4/5] 模拟第 2111/4821 笔交易: 有友食品...
2026-05-06 00:00:10.651 | INFO     | Backtest   | [回测 4/5] 模拟第 2121/4821 笔交易: 沃顿科技...
2026-05-06 00:00:10.910 | INFO     | Backtest   | [回测 4/5] 模拟第 2131/4821 笔交易: 华域汽车...
2026-05-06 00:00:11.196 | INFO     | Backtest   | [回测 4/5] 模拟第 2141/4821 笔交易: 先导基电...
2026-05-06 00:00:11.507 | INFO     | Backtest   | [回测 4/5] 模拟第 2151/4821 笔交易: 明牌珠宝...
2026-05-06 00:00:11.737 | INFO     | Backtest   | [回测 4/5] 模拟第 2161/4821 笔交易: 廊坊发展...
2026-05-06 00:00:12.038 | INFO     | Backtest   | [回测 4/5] 模拟第 2171/4821 笔交易: 交建股份...
2026-05-06 00:00:12.296 | INFO     | Backtest   | [回测 4/5] 模拟第 2181/4821 笔交易: 普天科技...
2026-05-06 00:00:12.538 | INFO     | Backtest   | [回测 4/5] 模拟第 2191/4821 笔交易: 长江证券...
2026-05-06 00:00:12.814 | INFO     | Backtest   | [回测 4/5] 模拟第 2201/4821 笔交易: 云铝股份...
2026-05-06 00:00:13.051 | INFO     | Backtest   | [回测 4/5] 模拟第 2211/4821 笔交易: 河钢资源...
2026-05-06 00:00:13.301 | INFO     | Backtest   | [回测 4/5] 模拟第 2221/4821 笔交易: 栖霞建设...
2026-05-06 00:00:13.483 | INFO     | Backtest   | [回测 4/5] 模拟第 2231/4821 笔交易: 李子园...
