2026-05-16 23:50:17.818 | WARNING  | DuckDB     | DuckDB | 数据库占用中，准备重试... (1/5)
2026-05-16 23:50:18.407 | WARNING  | DuckDB     | DuckDB | 数据库占用中，准备重试... (2/5)
2026-05-16 23:50:18.994 | WARNING  | DuckDB     | DuckDB | 数据库占用中，准备重试... (3/5)
2026-05-16 23:50:19.583 | WARNING  | DuckDB     | DuckDB | 数据库占用中，准备重试... (4/5)
2026-05-16 23:50:20.174 | ERROR    | DuckDB     | DuckDB | 无法连接到数据库: IO Error: Cannot open file "E:\1target\p9_project\quant-platform\data\meta\meta.db": 另一个程序正在使用此文件，进程无法访问。

File is already open in 
D:\Program Files\Python313\python.exe (PID 31712)
2026-05-16 23:50:20.175 | ERROR    | DuckDB     | DuckDB | 初始化表结构失败: IO Error: Cannot open file "E:\1target\p9_project\quant-platform\data\meta\meta.db": 另一个程序正在使用此文件，进程无法访问。

File is already open in 
D:\Program Files\Python313\python.exe (PID 31712)
2026-05-16 23:58:41.836 | INFO     | DuckDB     | DuckDB | 所有核心表结构初始化完成 (含热点板块)
2026-05-16 23:58:41.836 | INFO     | DuckDB     | DuckDB 核心就绪: E:\1target\p9_project\quant-platform\data\meta\meta.db
2026-05-16 23:58:41.837 | INFO     | ParquetPipeline | ParquetPipeline | Fetching daily k-lines from 20150101 to 20260516...
2026-05-16 23:58:41.999 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260515...
2026-05-16 23:58:42.820 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260514...
2026-05-16 23:58:43.657 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260513...
2026-05-16 23:58:44.484 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260512...
2026-05-16 23:58:45.237 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260511...
2026-05-16 23:58:46.014 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260508...
2026-05-16 23:58:46.894 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260507...
2026-05-16 23:58:47.737 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260506...
2026-05-16 23:58:48.614 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260430...
2026-05-16 23:58:49.383 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260429...
2026-05-16 23:58:50.274 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260428...
2026-05-16 23:58:51.052 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260427...
2026-05-16 23:58:51.893 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260424...
2026-05-16 23:58:52.870 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260423...
2026-05-16 23:58:53.653 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260422...
2026-05-16 23:58:54.472 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260421...
2026-05-16 23:58:55.267 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260420...
2026-05-16 23:58:56.242 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20260417...
