2026-05-17 00:00:00.074 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251222...
2026-05-17 00:00:00.888 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251219...
2026-05-17 00:00:01.699 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251218...
2026-05-17 00:00:02.479 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251217...
2026-05-17 00:00:03.324 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251216...
2026-05-17 00:00:04.139 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251215...
2026-05-17 00:00:04.915 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251212...
2026-05-17 00:00:05.711 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251211...
2026-05-17 00:00:06.490 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251210...
2026-05-17 00:00:07.270 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251209...
2026-05-17 00:00:08.057 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251208...
2026-05-17 00:00:10.043 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251205...
2026-05-17 00:00:10.840 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251204...
2026-05-17 00:00:11.646 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251203...
2026-05-17 00:00:12.443 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251202...
2026-05-17 00:00:13.305 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251201...
2026-05-17 00:00:14.118 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251128...
2026-05-17 00:00:14.904 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251127...
2026-05-17 00:00:15.710 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251126...
2026-05-17 00:00:16.491 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251125...
2026-05-17 00:00:17.280 | INFO     | ParquetPipeline | ParquetPipeline | Pulling market for 20251124...
